응답,변이,유전,경쟁,자원,차별적생존,집단 변화,목적론,사용,의지,적응,아무것도 없어
독성이 없던 달팽이가 독성이 조금씩 들어있는 먹이들을 먹다가 독성이 쌓여서 그 독성이 유전처럼 조상달팽이로부터 전해져 내려온 것 같다. 달팽이는 달팽이 집이 없어지면 속도도 느린데다가 보호 해 줄것이 없기 때문에 자신을 보호하기 위해서 만들었다고 생각한다.,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"날개가 없는 씨앗을 널리 퍼뜨리지 못해서 번식을 잘 못하고, 근처에만 번식을 하게 되서 멸종되기 더 쉬운데, 여러곳에 있으면 번식도 잘되기 때문에 날개를 만들어서 더 멀리 날아가게 하기 위해서 생긴 것 같다.",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
장미에 가시가 있으면 물이 나갈 수 있는 구멍이 많아지는데 주변에 장미를 헤칠만한 생물도 없어서 없어 진 것 같다. 장미는 햇빛이 많은 곳에서 살다가 햇빛이 많이 필요하지 않기 때문에 필요 없는 가시 부분이 없어진 것 같다.,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
남극은 추운 곳이라서 열을 많이 내기 위해서는 지방이 많아야 되는데 지방이 많아 지면서 무게가 늘어나서 무거워서 날지 못하는 것 같다. 위쪽은 아래쪽보다 기온이 낮기 때문에 조금이나마 덜 춥기 위해서 그런 것 같다.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
달팽이의 조상을 풀요롭고 안전한 환경에서 생활하였다. 그런데 점점 시대가 발전하고 환경이 달라지면서 달팽이가 이 시대에 적응을 하면 자신 스스로가 이 시대의 환경에서 살아남기 위하여 자신의 몸의 세포를 변형시키며 점점 진화하여 지금의 독이 있는 달팽이가 살고 있는 것입니다.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
장미의 조상은 환경이 아주 풍요로웠다. 하지만 시대가 변하여 가기 시작하자 토양의 성질이 옛날의 성질에 비해 여러 성질이 옛날과 달라지면서 장미가 금 성질을 빨아들이면서 진화 했을 것이다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
펭귄은 새 종류이지만 다른 새들과는 달르다. 펭귄은 다른 새에 비해 체중이 많이 나가고 추운 곳에서 자라다 보니 따뜻한 곳에서 자라는 새들과 환경이 다르기 때문에 펭귄과 새들의 세포가 달라서 펭귄은 날지 못하는 것이다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
느릅나무는 나무의 둘레가 크기 때문에 그 토양,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
한 장미가 다른 환경에 번식을 했을 때 그 환경에서는 가시가 필요없는 환경이여서 가시없이 진화 된 것 같다. 사람들이 가시를 잘라 낸 장미가 번식을 해서,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
느릅나무종의 더 활성한 번식을 위해 날개가 있는 씨앗으로 번식을해서,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
유전자 변형으로 인해 새로운종이 생겨났다.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
거의 날지 않고 걸어다니는 펭귄끼리 번식을 해서 진화 된 것 같다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
커가면서 우리 현대인들 때문에 환경이 오염되고 그 환경에 적응해서 이상한 곤충들이 생기고 그에 맞서 싸워야 하기 때문에 독을 품는 것이다. 라고 생각합니다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
느릅나무는 열매가 자랐었는데 워낙 그 열매가 단단해서 거기에 앉아서 쉬었었다. 근데 열매가 너무 힘들어서 날개를 만들기 시작했고 그래서 날개가 생긴 것이라고 생각합니다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
그 종의 장미는 사람들의 관심을 받아 가시가 필요 없다고 생각했기 때문에 가시가 없다고 생각합니다.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
사람들이 많아지면서 먹이를 많이줘서 비만이 생겨서 날 수 없다고 생각합니다.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제 생각에는 현재 심한 환경 오염과 지구 온난화 때문에 독성이 생긴 거라고 생각합니다. 예전(조선)에는 환경이 좋았고 깨끗하였지만 지금은 환경오염이 심해서 그런거 같습니다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
제 생각에는 펭귄들이 날려고 하지 않다가 습관이 되어서 나는 방법을 까먹은 거 같습니다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
제 생각은 장미에서 필요한 성분이 지금은 발달이 되지 않아서 그런거 같습니다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
제 생각은 필요 없는 성분이 늘어나서 그런거 같습니다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
사는 곳에 적응을 위해서 살다가 날 수 없게 됬다고 생각합니다.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
씨앗을 퍼뜨리기 위해 모습을 바꾸었다고 생각합니다.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
달팽이에게 독성이 있는 DNA를 넣었기 때문이라고 생각합니다.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
사는 곳에 영향을 받으면서 가시가 없어졌다고 생각합니다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
식물은 강에서나 다리밑에나 어디서든 자랍니다. 식물은 흙이 아니어도 자라는데 날개가 있는 씨앗은 환경이 달라서,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
달팽이도 양분을 먹고 흙에서 자라니까 요즘 같은 시대는 옛날처럼 화약품 같은 게 없는데 지금은 많이 있기도 하고 땅에다 각종 쓰레기물질들을 버리니까 달팽이는 흙에서 사니 그걸 먹어서 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
사람들도 봤을때 각자 모습이 다른데 생물 장미는 생물 꽃..아니다 식물인데 식물이라 해도 다 똑같거나 같은 모습만 있는게 아니니까 가시가 없는것도 충분히 있을 수 있다.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
꼭 동물이라고 날아다니는 건 아닙니다. 그러니 즉 펭귄 중에서도 꼭 날아다니는 것만 있는 건 아니다.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
점점 날  필요가 없고 바닷속에서 음식을 사냥하기 때문에 날개가 점점 쓰이지 않아서 날지 못하고 뚱뚱해서 그렇다.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
독성이 없었던 조상 달팽이가 독있는 식물을 먹어서 그게 계속 몸에 남아 있어서 독이 옮겨진다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
가시를 누가 다 부신것 같다. 동물들이 가시를 밟거나 먹거나 했을 것 같다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
사람도 기형아가 있듯이 이것도 기형아 같은 씨앗인거다.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
달팽이가 독있는 꽃을 먹고 몸속의 항생체를 만들어서 독있는 꽃에 들어있는 독을 빨아들여서 달팽이가 위험할 때 내뿜는 것입니다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
펭귄은 남극이나 북극처럼 추운곳에서 사는데 추운곳에서 알을 지켜야 되는데 알을 들고 날면 알이 떨어지면 안되니까 계속 안 날고 있어서 추우면 얼음같은 것도 얼으니까 날개가 얼어서 날지 못하게 된 것입니다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
장미가 사는곳마다 온도가 다르니까 온도 때문에 가시가 들어갔다 나왔다 하는 것입니다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
옛날에는 종을 많이 못 퍼트려서 오늘날에는 종이 많아져서 날개를 없앤것입니다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
달팽이한테는 등껍질이 있지만 민달팽이들은 등껍질이 없어서 독성을 가졌을 것이라고 생각합니다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
요즘엔 갈수록 토양이 오염되서 가시가 없이 자라게 된 것이라고 생각합니다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
날개가 무거워져서 날 수 없게 된 것이라고 생각합니다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
날개가 없는 씨앗은 떨어질 때 너무 빠르게 떨어져서 천천히 떨어질 수 있게 날개가 있는 씨앗을 생산하게 되었을 것이라고 생각합니다.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
장미의 가시는 진딧물이나 각종 벌레들로부터 보호하기위해 가시가 생겨 났죠 그럼 가시가 없는 장미는 진딧물이나 각종 벌레들이 붙으라고 없는거 겠죠,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
자기 자손을 퍼트리기위해 날개를 달아 씨앗을 멀리 날아가도록 한건데 날개없는 씨앗을 내 놓는건 자기 자손을 자기 옆에 두고 싶어 그런거 겠죠,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
달팽이는 풀을 먹고 자라는 것 같습니다. 그 독성이 있는 달팽이가 독이있는 풀을 주식으로 삼아 계속 먹으니 면역이 생겨 그런것 아닐까요?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
이 날수없는펭귄은 다른 펭귄보다 많이 먹고 몸이 무거웠던거 아닐까요?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
장미는 아름다운 꽃이라서 사람들이 관심을 받고 사람들이 실험을 아주 많이한 결과 가시가 없는데 있게 만들었기 때문이다. 그리고 또 다른 이유는 환경 때문이다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
거친환경으로 살아가며 독성이 있지만 달팽이한테 피해를 안주는 나뭇잎을 먹어서 시간이 지나 진화를 한 것이다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
펭귄은 먹이를 먹기 위해 물고리를 잡아먹는다. 그래서 형태가 달라지고 날수있는것보다 바다에서 자유롭게 움직이는 대신 날 수가 없다.,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
땅의 영양분이 다르고 지금 있는 지렁이는 조상때 모습과 특성이 다르다고 그 조상 지렁이가 느릅나무를 도와주며 끝까지 살아온 결과 날개가 있는 씨앗을 생산함.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
독있는 동물이 달팽이를 물어서 달팽이한테 독이 생겼다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
장미한테 가시가 있어야하는데 왜 가시가 없어졌으면 사람들이 장미를 너무 좋아하니깐 가시가 없어진 것 같다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
펭귄이 생선을 너무 많이 먹어서 너무 뚱뚱해서 날 수 없다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
느릅나무씨앗에 점점 날개가 조금씩 생겼다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
사는 환경에 따라 변종이 된것입니다. 자기가 사는 곳에서 천적이 없는 종은 환경이라면 가시퇴화된 것일 것 같습니다.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
느릅나무에 환경이 바람이 잘 부는 곳이어서 날개가 생기거나 느릅나무에 대해 잘 모르게 때문에 그러는데 독이 있거나 새가 없는 곳일 경우 새가 먹어 옮길 수 없기에 유일한 바람을 타고 날아가게 한 것 같습니다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
이 독이 있는 달팽이는 옛날부터 독성이 있는 나뭇잎을 먹어와 그것이 진화하였따는 것? 첵에서 보니 독성 잎을 먹고 그 독을 몸에 모아 두고 위급할때 사용하는 애벌레가 있습니다. 그 달팽이도 이 애벌레와 비슷하지 않을까 생각합니다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
이건 도도새와 비슷한 것 같습니다. 먹이를 뭍이나 물 속에서 쉽게 구할 수있으나 하늘을 힘들게 날 필요가 없다는 생각에 나는 법을 잊은 것 같습니다.,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
옛날 그리스에서 신이 나무를 많이 바란다고 생각하여 날개가 있는 씨앗을 만들어 나무를 키워 하늘로 날리기 위해 만들었을 것이다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
달팽이들이 독 성분이 있는 풀을 먹으면서 알을 낳다가 몸에 있던 독이 달팽이에게 그대로 전해져 독이 있는 달팽이가 탄생하게 된것이다.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
조상님들이 장미가 너무 멋있어보였을 것이다. 하지만 가시가 너무 많기 때문에 가시를 잘랐다. 자른 것을 심다보니깐 점점 가시 없는 장미가 많아져서 생기게 되었다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
조상님들이 옛날 펭귄에 날개가 몸에 좋다고 해서 펭귄에 날개를 먹기 시작하였다. 그 후로 날기보다는 수영을 하다보니 날지 못하게 되었다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
주변의 모든 생명체들한테 자기 몸을 지키기위해 생기거나 매연을 많이 마셔서 독이 생기고 아니면 나뭇잎같은데에 있는 독을 먹고 중독 되었기 때문이기 때문인것 같습니다.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
진화하는 과정에서 가시가 다 떨어지거나 줄기가 탄탄해지면서 줄기에 있던 가시가 없어진것 같다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
처음에는 날개가 날 수 있을 정도로 날개가 귓는데 진화되면서 날개가 얇아지고 짧아지기 때문인 것 같다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
처음에는 계속 떨어져서 거기에 나무가 나서 그랬는데 지금은 바람을 타고 멀리 보내게 된것이다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
바다에서만 헤엄을 치는 펭귄이 있었는데 그 펭귄이 나는 법을 까먹어서 날수 없는 펭귄이 생기게 되었을것 같다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
달팽이가 독성이 있는 식물을 조금 먹게 되고 나중엔 달팽이들이 번식을 해서 독성을 가진 달팽이가 생기게 된 것 같다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
어떤 한사람이 장미의 가시를 자르게되고 그 장미의 씨앗이 널리퍼져서 가시가 없는 종의 장미가 생겨나게 되었다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
자신의 씨앗을 날려보내겠다는 의지로 날개가 있는 씨앗을 생산하는 느릅나무가 나타났다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
씨앗을 좀 더 개성있게 만들어서 심기위해서 인듯 합니다.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
자신의 적에게 당하지 않기위해 보호차원인듯 합니다.,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
펭귄이 사는 추운 지방에서 살기위해 살을 점점 찌우고 지방층을 두껍게 하여 추움을 견디고 살이 많이 쪄서 못나는 듯 합니다.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
자신을 보호하기 위한 방어태세인듯합니다. 또한 장미중에 돌연변이가 생겨서 그런듯 합니다.,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
열매를 만들지 않아서 바람을 타고 다른 곳으로 가기 쉽게 변했다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
먹이를 물속에 있어 수영을 하다가 날지못하게 되었다.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
독이 있는 식물을 먹고 유전자 변해서 생겼을것같다.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
가지로 되려다가 멈취서 가시가 되었다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
장미는 적으로 부터 자기 몸을 보호할려고 꽇으로 땅에 있는가시를 자기 모에 꽂히거나 영양분 아니면 광합성 때문인거 같다.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
모든 달팽이는 잎을 먹습니다. 그런 달팽이는 많이 먹을 수록 점점 커지게 됩니다. 달팽이는 계속 잎을 먹다가 독이 있는 식물을 먹어 달팽이는 점점 독이 퍼져 위험한 달팽이가 되어 계속 번종하게 된것입니다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
펭귄은 손이 있습니다. 사람도 있죠 사람도 팔을 막흔들어도 못납니다. 펭귄은 팔에 있는 털이 넓게 있어서 연습하고 연습해서 날수 있게 됀것 입니다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
모든 식물은 영양분을 먹습니다. 근데 한 종은 일반 느릅나무처럼 생김새는 똑같지만 그 쪽 땅에 영양분이 많아 날게가 생긴 거 같습니다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
어떤한 펭귄에게 날수있는 법을 배워서 날 수 있다고 생각합니다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
달팽이가 알을 깟는데 그 알에게 무언가의 물같은 것을 줬는데,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
처음에 장미가 있는데 그 꽃에 개가 지나가다 개의 소변을 흡수하여 가시가 있어 졌다고 생각합니다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
물을 많이 흡수해서 씨앗에 날개가 없어진것이다. 그렇게 생각합니다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
제 생각은 달팽이는 딱딱한 집을 갖고 있지만 그것은 방어수단에 불과합니다. 그래서 달팽이는 상대를 쓰러트리기 위해 점점 독을 가지게 됫을 거라고 생각합니다.,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
장미는 가시가 없으면 상대방으로부터 몸을 보호할 수가 없습니다. 장미가 가시가 없을 때 곤충들로부터 몸을 다칩니다. 그래서 이런 곤충들로부터 몸을 보호하려고 가시가 난 것 같습니다.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
펭귄은 하늘보다 물에 먹을 게 더 많아서 하늘을 날지 않고 물에서 수영을 많이 했기 때문에 날개가 퇴화된것 같습니다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
느릅나무에 있는 날개 씨앗이 물을 너무 많이 흡수하여 날개가 없어 졌다고 생각합니다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
장미가 퍼지면서 물이 풍부한 지방으로 퍼져서 가시가 필요없어져서이다.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
좀 더 멀리 씨앗이 퍼져서 느릅나무종을 늘이려고 하였기 때문이다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
달팽이가 널리 퍼지면서 독성이 있는 잎을 먹고 자라서 달팽이가 독성을 가지게 됬다고 생각합니다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
펭귄이 추운지방에서 살아서 날면 더 추워서 죽을 수도 있기 때문이다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
원래 달팽이에게 독이 없었는데 경제가 발전하면서 많은 오염물질들로 인해 몸속에 나쁜 독성물질이 생긴것입니다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
어떤 장미가 있었는데 그 장미에 가시에 사람들이 찔려서 가시가 한두개씩 계속 빠져서 가시다 없어졌다. 그런데 사람들이 그 장미를 심었더니 가시없는장미가 자랐다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
날수있는 펭귄이 있었는데 그 펭귄이 날수없게 해달라고 소원을 빌었더니 날수 없게 되었다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
사람이 진화하듯이 씨앗도 진화해서 날개를 가지게 되었다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
지금의 단풍나무처럼 날개가 생긴 이유는 만약에 조상 느릅나무 씨앗이 생활에 도움이 많이 되지 않아서 이번 느릅나무 씨앗을 개발시킬때 좋은 성분과 생활에 도움을 줄 수 있도록 하기위해서,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
조상 달팽이종류 중 달팽이가 독 주변에 기어다니다가 독에 닿아서 독성이 퍼지며 점점 나쁜 독이 퍼져 독성이 있는 달팽이가 나타날것같다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
조상 장미종에는 가시가 있었지만 장미의 가시가 따가워서 손을 많이 다치기 쉬우므로 씨앗을 개발시켜 장미가 자라나며 가시가 없어지게 만든 것 같다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
조상 펭귄종에 펭귄이 날 수 있던 것은 펭귄이 지금 처럼 다리가 짧고 날개도 짧고 몸이 통통하지 않아 가볍고 길어서 날기 편했을 것이었을것 같다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
적합하지 않은 환경에서 과한 물과 햇빛을 받았고 토양의 오염이 있어 그것들이 나무로 다 들어와 충돌해서 돌연변이인 날개 있는 씨앗이 나왔다.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
환경오염으로 인해 공기가 무거워졌다거나 아쉽게도 태생적으로 날 수 없었다고 생각한다. 아님 팔(날개)이  그 환경에서 날 수 있을만큼 적합한 팔(날개)이 아니었다고 생각한다(DNA문제),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
독성이 있는 달팽이의 어미 달팽이가 몸속에 약간의 독성을 심어주는 성분이 있는 나뭇잎을 먹었거나 오염된 땅을 지나가다 오염 물질이 어미 달팽이의 몸속으로 들어왔거나 또는 어미 달팽이가 하늘에서 내리는 산성비를 맞아 몸속에 독성이 유발되어 독성이 있는 달팽이의 알을 낳을때(?) 어미 달팽이 몸속에 있던 독성이 같이 방출 되어서 그런것 같다고 생각한다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
가시가 없는 그 장미는 원래 가시가 있었는데 햇빛과 물을 너무 많이 받아서 몸(?)이 너무 많은 햇빛과 물을 감당할 수가 없어서 몸에 이상이 생겨버려 가시가 없어졌다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
펭귄의 날 수 없는 종은 날개를 사용하는 것 보다는 발로 걸어다니고 날개보다는 지느러미로 사용하여 오랫동안 쓰지 않은 날개가 점점 퇴화되어 날 수 없게 되었을 것이라고 생각합니다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"날개가 없는 씨앗이라면 바로 밑에서 떨어져 자라고, 한 곳에 밀집된 느릅나무들은 햇빛도 잘 받지 못하고 물의 영양과 흙의 영양분도 고루 받지 못해 점점 시들어 갑니다. 살아남기 위해 조금 더 멀리, 많은 지역에 퍼트리기 위해 점점 날개가 있는 씨앗을 진화시켰다고 생각합니다.",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
원래의 달팽이는 독이 없었으나 먹이사슬의 먹고 먹히는 관계로부터 자기자신을 보호하려 한 종이 변종된 것 이라고 생각합니다.,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"장미의 씨앗 중 한두개가 유전자가 파괴되어 가시가 생성되지 않았고, 그 장미들끼리 수분을 해서 새로운 가시가 없는 장미종이 생겨났다.(고 생각합니다.)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
느릅나무가 처음에 나도 날개가 있는 씨앗을 갔고싶어해서 자기스스로 노력해서 씨앗을 만들었다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
장미는 물을 먹으며 자랐고 벌레들이 자신을 자꾸 건드려 자신을 위해 가시를 내놓았다. 이 가시로 자신을 지키기 위해서이다.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
달팽이가 나뭇잎을 먹으면서 자라다가 독이 있는 잎을 먹어 달팽이가 점점 독성을 가지게 되었습니다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
펭귄은 옛날부터 날고싶어서 매일 연습을 하여 팔에 힘이 생겨 날수 있게 되었습니다. 그리고 하늘을 날고싶고 밑에는 먹을게 없기 때문입니다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
달팽이가 독이 든 뱀을 먹기 때문이다. 달팽이가 지나가다가 뱀을 발견하고 뱀도 달팽이를 발견했다. 뱀은 달팽이한테 전력 질주를 했는데 달팽이가 하품을 하고있었는데 뱀은 전력 질주를 하다가 달팽이 뱃속으로 들어가 버렸다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"사람들이 가시를 잘라버렸다. 사람들이 장미를 보고 ""장미는 너무 따가워""해서 장갑을 끼고 가시를 잘라버렸다.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
펭귄이 다른 펭귄이랑 싸우다가 못 날게 되었다. 펭귄하고 펭귄이 싸우다가 한 마리는 죽고 한마리는 다쳐서 못 난다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"날개가 있는 씨앗을 심어 버렸다. 할배,할매들이 나무를 심는데 이게 날개가 없는줄알고 심었는데 달개가 있어 버려서 깜짝 놀랐다.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"독이 없는 달팽이를 사람들이 계속 잡아먹으니까, 또 달팽이가 천적으로부터 자신을 보호하기위해서 달팽이가 스스로 독을 만들었다.",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
